id,type,district,lon,lat,level
N_1202,junction,จอมทอง,100.4648,13.66649,-1
N_1203,junction,หนองแขม,100.36968,13.68158,-1
N_1204,junction,หนองจอก,100.90389,13.85579,-1
N_1205,junction,หนองจอก,100.89686,13.85742,-1
N_1206,junction,หนองจอก,100.88491,13.79539,-1
N_1207,junction,หนองจอก,100.8907,13.78955,-1
N_1208,junction,คลองสามวา,100.74096,13.8544,-1
N_1209,junction,คลองสามวา,100.77181,13.83429,-1
N_121,junction,คลองสาน,100.50267,13.70738,-1
N_1210,junction,คลองสามวา,100.74591,13.82872,-1
N_1211,junction,หนองจอก,100.88475,13.87884,-1
N_1212,junction,หนองจอก,100.90679,13.88398,-1
N_1213,junction,หนองจอก,100.85106,13.8691,-1
N_1214,junction,หนองจอก,100.86072,13.87564,-1
N_1215,junction,หนองจอก,100.88446,13.87767,-1
N_1216,junction,บางแค,100.39195,13.68341,-1
N_1217,junction,บางแค,100.39618,13.67099,-1
N_1218,junction,หนองจอก,100.83042,13.86027,-1
N_1219,junction,หนองจอก,100.8275,13.85526,-1
N_122,junction,คลองสาน,100.4996,13.71229,-1
N_1220,junction,คลองสามวา,100.77574,13.87467,-1
N_1221,junction,คลองสามวา,100.7651,13.86919,-1
N_1222,junction,หนองจอก,100.91262,13.84667,-1
N_1223,junction,หนองจอก,100.90773,13.8381,-1
N_1224,junction,ประเวศ,100.65151,13.71811,-1
N_1225,junction,จอมทอง,100.46488,13.66532,-1
N_1226,junction,จอมทอง,100.46305,13.66508,-1
N_1227,junction,ตลิ่งชัน,100.44155,13.74031,-1
N_1228,junction,ตลิ่งชัน,100.44257,13.74383,-1
N_1229,junction,หนองจอก,100.90825,13.83765,-1
N_123,junction,ธนบุรี,100.47804,13.7174,-1
N_1230,junction,หนองจอก,100.85618,13.83826,-1
N_1231,junction,ลาดกระบัง,100.78212,13.75894,-1
N_1232,junction,ลาดกระบัง,100.78476,13.78186,-1
N_1233,junction,หนองจอก,100.87929,13.90936,-1
N_1234,junction,หนองจอก,100.88808,13.9183,-1
N_1235,junction,หนองจอก,100.79821,13.89238,-1
N_1236,junction,หนองจอก,100.79591,13.89065,-1
N_1237,junction,หนองจอก,100.89344,13.88417,-1
N_1238,junction,หนองจอก,100.90227,13.91683,-1
N_1239,junction,ตลิ่งชัน,100.43228,13.74041,-1
N_124,junction,ธนบุรี,100.47981,13.71776,-1
N_1240,junction,ตลิ่งชัน,100.43359,13.7448,-1
N_1241,junction,หนองจอก,100.89255,13.92791,-1
N_1242,junction,หนองจอก,100.8749,13.86592,-1
N_1243,junction,หนองจอก,100.8729,13.86959,-1
N_1244,junction,ลาดกระบัง,100.86084,13.69695,-1
