quality_issue_fact_key,district_key,issue_type,severity,entity_type,entity_id,source_layer,source_path,spatial_hash_geohash7,polygon_district_code,review_status,requires_manual_review
0d23ac698ff7e44a026b0aa06da680b4b47e74e2af1f3ffc9ce20ed4ee357cf5,1047,district_spatial_conflict,high,drainage_asset,protection:5,protection,data/geojson/protection.geojson,w4rtcgb,1009,unresolved,1
d5c74828d3aef0481e0284887d309b9b531f83bc8e1a7576551dd95c2f6a5c45,1047,district_spatial_conflict,high,monitoring_location,water_level_station:164,water_level_station,water-data/water_latest_geojson.json,w4rtf0y,,unresolved,1
27739b8841f54b61110678b78d0c9ddcdc86c702e9853c7c42cfd395f7b7dd95,1047,district_spatial_conflict,high,monitoring_location,water_level_station:47,water_level_station,water-data/water_latest_geojson.json,w4rtc49,,unresolved,1
d69a6caa52698347c065371c64883ea8e823f41bbf3f3b689a46cb2d2c58a740,1049,district_spatial_conflict,high,drainage_asset,canals:3242,canals,data/geojson/canals.geojson,w4rmwvt,1024,unresolved,1
b3d2823ba1e22b8a1135b5a4fd89b2cbfee9767cd4abebec7b9e1dec1a2c6acd,1049,district_spatial_conflict,high,drainage_asset,canals:3788,canals,data/geojson/canals.geojson,w4rmwr4,1035,unresolved,1
d658e7ccd9c7ea43237615400d1e156fe36badaf4a75c4cfdbf48c9335779ba2,1049,district_spatial_conflict,high,drainage_asset,protection:33,protection,data/geojson/protection.geojson,w4rmy2g,1035,unresolved,1
4a4244c72b4621ee11c35004c13a8297f4fb5d4b7b26dd392e49dd82f119f2b0,1050,district_spatial_conflict,high,drainage_asset,canals:3599,canals,data/geojson/canals.geojson,w4rmuf1,1040,unresolved,1
12d18f07e842f4a89cb636550e48708d0f28613e2f7a07e518b96b2e08f5aaef,1050,district_spatial_conflict,high,drainage_asset,canals:4451,canals,data/geojson/canals.geojson,w4rmez6,1023,unresolved,1
3e6ce287280f83d03a8c010f7932ba5743542a390ec2c1a963df4928077ae02b,1050,district_spatial_conflict,high,monitoring_location,water_level_station:78,water_level_station,water-data/water_latest_geojson.json,w4rmv26,,unresolved,1
74f7da3b58babcb81d3bd3548f85301db017749d4ebc2a7ec67dd35c0d2955b1,1002,unresolved_asset_owner,high,drainage_asset,canals:5392,canals,data/geojson/canals.geojson,w4rqr6p,,unresolved,1
a8a031a6d6d52dd1046230a96ec83f5072488838ce8cea9bfc2c048c4b9b11c0,1002,unresolved_asset_owner,high,drainage_asset,canals:5393,canals,data/geojson/canals.geojson,w4rqrxy,,unresolved,1
bac9cb619d7e54eb7272004d1070d06357470506944898574ec364a0286a166e,1003,unresolved_asset_owner,high,drainage_asset,canals:5394,canals,data/geojson/canals.geojson,w4rwpqg,,unresolved,1
3bcd11843ae55a165aea93fad7547920b68ecb2d9abac024cccff788129d3186,1003,unresolved_asset_owner,high,drainage_asset,canals:5395,canals,data/geojson/canals.geojson,w4rwrdq,,unresolved,1
999da67fd90816cf669d5e4835a9809feb862b92a17db6aacfcd224c0c7e6de6,1003,unresolved_asset_owner,high,drainage_asset,canals:5396,canals,data/geojson/canals.geojson,w4rwrgj,,unresolved,1
8f102b3cec67db4a8e205986ffddf81eedb7c27378065c90373b1060032d02b4,1003,unresolved_asset_owner,high,drainage_asset,canals:5397,canals,data/geojson/canals.geojson,w4ry2h0,,unresolved,1
ea356696d8376d65c29db5be653be0b58f44679540b250db0beb814bfb0f3a71,1003,unresolved_asset_owner,high,drainage_asset,canals:5398,canals,data/geojson/canals.geojson,w4rwrur,,unresolved,1
cdc088031562d9f115725c6aa00361be4d5459c9a638bdd3e4637648fac51817,1003,unresolved_asset_owner,high,drainage_asset,canals:5399,canals,data/geojson/canals.geojson,w4rwyt5,,unresolved,1
2153a2be935a31d98766d1484244de6a0c13d39a5e5695f1f1c600076eecabc7,1003,unresolved_asset_owner,high,drainage_asset,canals:5402,canals,data/geojson/canals.geojson,w4rxrc6,,unresolved,1
367971ac6dd05c938d9dbb16544bfacb758afcc3e51a7ce587663f2f45c0080b,1019,unresolved_asset_owner,high,drainage_asset,canals:5413,canals,data/geojson/canals.geojson,w4rqjte,,unresolved,1
3a81ff8b617473bfe791135c2ecf9bdf55e25371be2d86cd20038a710a1ffbdc,1019,unresolved_asset_owner,high,drainage_asset,canals:5414,canals,data/geojson/canals.geojson,w4rqjmv,,unresolved,1
